City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,luderitz,-26.6481,15.1594,58.77,80,0,6.49,NA,1697407350
272,tutoia,-2.7619,-42.2744,80.28,80,98,13.51,BR,1697407268
273,alcala del valle,36.9045,-5.1724,61.77,62,96,2.64,ES,1697407351
274,faro,37.0194,-7.9322,71.38,88,20,4.61,PT,1697407351
275,pandan,14.0453,124.1694,80.02,81,87,7.16,PH,1697407351
276,santa rita do sapucai,-22.2522,-45.7033,72.12,75,95,2.77,BR,1697407351
277,quellon,-43.1167,-73.6167,48.4,83,90,4.63,CL,1697407281
278,miracema do tocantins,-9.5618,-48.3967,89.69,32,48,1.72,BR,1697407352
279,challapata,-18.9,-66.7667,64.98,17,61,17.34,BO,1697407352
280,arno,60.1167,18.6333,44.78,64,36,16.04,SE,1697407352
281,mejit,10.2753,170.8646,82.42,75,18,10.65,MH,1697407352
282,port lincoln,-34.7333,135.8667,55.31,65,44,16.93,AU,1697407353
283,aljezur,37.3191,-8.8033,68.02,96,46,3.02,PT,1697407353
284,nikfer,37.4054,29.1373,54.61,65,0,1.1,TR,1697407353
285,iskateley,67.6803,53.1512,33.03,87,100,20.0,RU,1697407353
286,coxen hole,16.3244,-86.5366,88.88,70,20,11.5,HN,1697407218
287,hotan,37.0997,79.9269,59.86,23,100,3.76,CN,1697407354
288,byron bay,-28.65,153.6167,79.72,57,1,13.51,AU,1697407354
289,great bend,38.3645,-98.7648,55.62,47,0,14.97,US,1697407326
290,sarkand,45.41,79.9186,42.28,54,83,2.93,KZ,1697407355
291,grand falls-windsor,48.9332,-55.6649,51.51,83,89,5.08,CA,1697407355
292,nar'yan-mar,67.6713,53.087,33.12,87,100,20.0,RU,1697407355
293,dryden,49.7833,-92.7503,52.09,62,0,6.91,CA,1697407325
294,dunedin,-45.8742,170.5036,57.07,38,37,6.58,NZ,1697407356
295,port-vila,-17.7338,168.3219,78.4,89,100,13.8,VU,1697407356
296,fort bragg,35.139,-79.006,60.64,69,100,3.44,US,1697407356
297,poxoreo,-15.8372,-54.3892,84.96,47,90,3.27,BR,1697407305
298,hadibu,12.65,54.0333,79.7,77,44,3.36,YE,1697407357
299,daru,-9.0763,143.2092,78.69,82,79,12.91,PG,1697407357
300,uyskoye,54.3775,60.0047,45.9,79,95,9.89,RU,1697407357
301,revda,56.801,59.9303,46.18,85,100,13.78,RU,1697407358
302,sokoni,-6.4333,39.55,79.18,86,24,9.64,TZ,1697407358
303,yung shue wan,22.2333,114.1167,78.67,78,99,1.99,HK,1697407358
304,ovalle,-30.5983,-71.2003,73.89,34,100,6.13,CL,1697407358
